dcode,dname,month_year,value
1033,คลองเตย,oct_60,9273.45
1018,คลองสาน,oct_60,3953.14
1046,คลองสามวา,oct_60,6536.56
1043,คันนายาว,oct_60,4562.05
1030,จตุจักร,oct_60,13190.9
1035,จอมทอง,oct_60,6265.85
1036,ดอนเมือง,oct_60,6486.68
1026,ดินแดง,oct_60,9296.14
1002,ดุสิต,oct_60,5203.13
1019,ตลิ่งชัน,oct_60,4693.45
1048,ทวีวัฒนา,oct_60,3286.79
1049,ทุ่งครุ,oct_60,4632.61
1015,ธนบุรี,oct_60,5207.07
1020,บางกอกน้อย,oct_60,6213.54
1016,บางกอกใหญ่,oct_60,2507.14
1006,บางกะปิ,oct_60,10538.4
1021,บางขุนเทียน,oct_60,10956.2
1005,บางเขน,oct_60,9626.36
1031,บางคอแหลม,oct_60,4324.86
1040,บางแค,oct_60,9491.53
1029,บางซื่อ,oct_60,5192.49
1047,บางนา,oct_60,7069.26
1050,บางบอน,oct_60,7226.66
1025,บางพลัด,oct_60,5088.45
1004,บางรัก,oct_60,5159.71
1027,บึงกุ่ม,oct_60,6383.77
1007,ปทุมวัน,oct_60,9273.48
1032,ประเวศ,oct_60,9264.9
1008,ป้อมปราบศัตรูพ่าย,oct_60,2642.59
1014,พญาไท,oct_60,5296.59
1009,พระโขนง,oct_60,4563.04
1001,พระนคร,oct_60,6805.22
1022,ภาษีเจริญ,oct_60,5257
1010,มีนบุรี,oct_60,5797.5
1012,ยานนาวา,oct_60,5862.79
1037,ราชเทวี,oct_60,6551.77
1024,ราษฎร์บูรณะ,oct_60,3677.89
1011,ลาดกระบัง,oct_60,8852.44
1038,ลาดพร้าว,oct_60,6657.93
1045,วังทองหลาง,oct_60,7061.8
1039,วัฒนา,oct_60,8715.1
1034,สวนหลวง,oct_60,7142.6
1044,สะพานสูง,oct_60,3884.6
1013,สัมพันธวงศ์,oct_60,1784.02
1028,สาทร,oct_60,5646.62
1042,สายไหม,oct_60,7319.78
1023,หนองแขม,oct_60,5533.07
1003,หนองจอก,oct_60,4169.56
1041,หลักสี่,oct_60,5644.96
1017,ห้วยขวาง,oct_60,6834.21
1000,อื่นๆ,oct_60,18217.05
1033,คลองเตย,nov_60,8864.92
1018,คลองสาน,nov_60,3741.27
1046,คลองสามวา,nov_60,6020.13
1043,คันนายาว,nov_60,4257.13
1030,จตุจักร,nov_60,12824.3
1035,จอมทอง,nov_60,6034.12
1036,ดอนเมือง,nov_60,6140.07
1026,ดินแดง,nov_60,8554.03
1002,ดุสิต,nov_60,5172.06
1019,ตลิ่งชัน,nov_60,4368.31
1048,ทวีวัฒนา,nov_60,3153.07
1049,ทุ่งครุ,nov_60,4161.68
1015,ธนบุรี,nov_60,4860.21
1020,บางกอกน้อย,nov_60,5103.47
1016,บางกอกใหญ่,nov_60,2319.97
1006,บางกะปิ,nov_60,9990.66
1021,บางขุนเทียน,nov_60,9952.36
1005,บางเขน,nov_60,8959.74
1031,บางคอแหลม,nov_60,4057.93
1040,บางแค,nov_60,8502.87
1029,บางซื่อ,nov_60,4854.27
1047,บางนา,nov_60,6823.96
1050,บางบอน,nov_60,6643.54
1025,บางพลัด,nov_60,4646.63
1004,บางรัก,nov_60,4703.67
1027,บึงกุ่ม,nov_60,5976.05
1007,ปทุมวัน,nov_60,9269.48
1032,ประเวศ,nov_60,8298.3
1008,ป้อมปราบศัตรูพ่าย,nov_60,2535.52
1014,พญาไท,nov_60,5052.82
1009,พระโขนง,nov_60,4197.33
1001,พระนคร,nov_60,6223.41
1022,ภาษีเจริญ,nov_60,4860.4
1010,มีนบุรี,nov_60,5309.72
1012,ยานนาวา,nov_60,5431.72
1037,ราชเทวี,nov_60,6382.53
1024,ราษฎร์บูรณะ,nov_60,3530.36
1011,ลาดกระบัง,nov_60,8443.6
1038,ลาดพร้าว,nov_60,6091.23
1045,วังทองหลาง,nov_60,6937.28
1039,วัฒนา,nov_60,8352.22
1034,สวนหลวง,nov_60,6758.44
1044,สะพานสูง,nov_60,3680.13
1013,สัมพันธวงศ์,nov_60,1662.08
1028,สาทร,nov_60,5319.93
1042,สายไหม,nov_60,6860.28
1023,หนองแขม,nov_60,5266.14
1003,หนองจอก,nov_60,3861.49
1041,หลักสี่,nov_60,5538.57
1017,ห้วยขวาง,nov_60,6577.55
1000,อื่นๆ,nov_60,17315.44
1033,คลองเตย,dec_60,8808.67
1018,คลองสาน,dec_60,3771.21
1046,คลองสามวา,dec_60,6098.24
1043,คันนายาว,dec_60,4452.33
1030,จตุจักร,dec_60,12606.3
1035,จอมทอง,dec_60,6134.88
1036,ดอนเมือง,dec_60,6080.85
1026,ดินแดง,dec_60,8421.37
1002,ดุสิต,dec_60,5305.81
1019,ตลิ่งชัน,dec_60,4386.27
1048,ทวีวัฒนา,dec_60,2961.29
1049,ทุ่งครุ,dec_60,4226.75
1015,ธนบุรี,dec_60,4859.64
1020,บางกอกน้อย,dec_60,4910.06
1016,บางกอกใหญ่,dec_60,2249
1006,บางกะปิ,dec_60,9963.51
1021,บางขุนเทียน,dec_60,9832.96
1005,บางเขน,dec_60,8888.39
1031,บางคอแหลม,dec_60,4056.85
1040,บางแค,dec_60,8447.18
1029,บางซื่อ,dec_60,4804.83
1047,บางนา,dec_60,6678.06
1050,บางบอน,dec_60,6550.71
1025,บางพลัด,dec_60,4608.15
1004,บางรัก,dec_60,4474.39
1027,บึงกุ่ม,dec_60,5953.66
1007,ปทุมวัน,dec_60,9341.17
1032,ประเวศ,dec_60,8229.77
1008,ป้อมปราบศัตรูพ่าย,dec_60,2587.59
1014,พญาไท,dec_60,5043.31
1009,พระโขนง,dec_60,4115.57
1001,พระนคร,dec_60,5980.5
1022,ภาษีเจริญ,dec_60,4669.47
1010,มีนบุรี,dec_60,5447.61
1012,ยานนาวา,dec_60,5446.97
1037,ราชเทวี,dec_60,6647.38
1024,ราษฎร์บูรณะ,dec_60,3533.26
1011,ลาดกระบัง,dec_60,8289.48
1038,ลาดพร้าว,dec_60,6449.89
1045,วังทองหลาง,dec_60,6933.94
1039,วัฒนา,dec_60,8369.47
1034,สวนหลวง,dec_60,6648.98
1044,สะพานสูง,dec_60,3835.02
1013,สัมพันธวงศ์,dec_60,1777.21
1028,สาทร,dec_60,5152.63
1042,สายไหม,dec_60,6752.96
1023,หนองแขม,dec_60,5058.98
1003,หนองจอก,dec_60,3841.04
1041,หลักสี่,dec_60,5349.55
1017,ห้วยขวาง,dec_60,6580.73
1000,อื่นๆ,dec_60,16760.77
1033,คลองเตย,jan_61,8952.41
1018,คลองสาน,jan_61,3862.31
1046,คลองสามวา,jan_61,6346.98
1043,คันนายาว,jan_61,4644.34
1030,จตุจักร,jan_61,12679.5
1035,จอมทอง,jan_61,6368.86
1036,ดอนเมือง,jan_61,6438.03
1026,ดินแดง,jan_61,8698.82
1002,ดุสิต,jan_61,5200.54
1019,ตลิ่งชัน,jan_61,4516.77
1048,ทวีวัฒนา,jan_61,3151.01
1049,ทุ่งครุ,jan_61,4299.31
1015,ธนบุรี,jan_61,5020.51
1020,บางกอกน้อย,jan_61,5030.12
1016,บางกอกใหญ่,jan_61,2315.59
1006,บางกะปิ,jan_61,10236.2
1021,บางขุนเทียน,jan_61,9962.17
1005,บางเขน,jan_61,9268.81
1031,บางคอแหลม,jan_61,4091.96
1040,บางแค,jan_61,8568.47
1029,บางซื่อ,jan_61,4988.86
1047,บางนา,jan_61,6823.32
1050,บางบอน,jan_61,6727.19
1025,บางพลัด,jan_61,4739.01
1004,บางรัก,jan_61,4690.24
1027,บึงกุ่ม,jan_61,6161.32
1007,ปทุมวัน,jan_61,9484.05
1032,ประเวศ,jan_61,8446.32
1008,ป้อมปราบศัตรูพ่าย,jan_61,2592.81
1014,พญาไท,jan_61,5174.72
1009,พระโขนง,jan_61,4402.87
1001,พระนคร,jan_61,6114.44
1022,ภาษีเจริญ,jan_61,4866.45
1010,มีนบุรี,jan_61,5656.89
1012,ยานนาวา,jan_61,5521.6
1037,ราชเทวี,jan_61,6693.25
1024,ราษฎร์บูรณะ,jan_61,3586.63
1011,ลาดกระบัง,jan_61,8746.79
1038,ลาดพร้าว,jan_61,6432.39
1045,วังทองหลาง,jan_61,6914.36
1039,วัฒนา,jan_61,8563.75
1034,สวนหลวง,jan_61,6902.59
1044,สะพานสูง,jan_61,3668.61
1013,สัมพันธวงศ์,jan_61,1729.14
1028,สาทร,jan_61,5022.9
1042,สายไหม,jan_61,7249.38
1023,หนองแขม,jan_61,5300.1
1003,หนองจอก,jan_61,4099.72
1041,หลักสี่,jan_61,5578.56
1017,ห้วยขวาง,jan_61,6730.2
1000,อื่นๆ,jan_61,19893
1033,คลองเตย,feb_61,8583.18
1018,คลองสาน,feb_61,3630.11
1046,คลองสามวา,feb_61,5499.77
1043,คันนายาว,feb_61,4153.56
1030,จตุจักร,feb_61,11775.1
1035,จอมทอง,feb_61,5988.34
1036,ดอนเมือง,feb_61,5875.88
1026,ดินแดง,feb_61,8025.83
1002,ดุสิต,feb_61,4972.77
1019,ตลิ่งชัน,feb_61,4304.25
1048,ทวีวัฒนา,feb_61,3002.46
1049,ทุ่งครุ,feb_61,4124.53
1015,ธนบุรี,feb_61,4738.54
1020,บางกอกน้อย,feb_61,4783.33
1016,บางกอกใหญ่,feb_61,2205.82
1006,บางกะปิ,feb_61,9469.34
1021,บางขุนเทียน,feb_61,9489.46
1005,บางเขน,feb_61,8517.92
1031,บางคอแหลม,feb_61,3981.58
1040,บางแค,feb_61,8200.77
1029,บางซื่อ,feb_61,4683.62
1047,บางนา,feb_61,6483.23
1050,บางบอน,feb_61,6465.61
1025,บางพลัด,feb_61,4477.7
1004,บางรัก,feb_61,4534.55
1027,บึงกุ่ม,feb_61,5879.25
1007,ปทุมวัน,feb_61,8761.87
1032,ประเวศ,feb_61,7921.35
1008,ป้อมปราบศัตรูพ่าย,feb_61,2493.67
1014,พญาไท,feb_61,4827.6
1009,พระโขนง,feb_61,4040.16
1001,พระนคร,feb_61,5744.13
1022,ภาษีเจริญ,feb_61,4586.15
1010,มีนบุรี,feb_61,5170.24
1012,ยานนาวา,feb_61,5342.04
1037,ราชเทวี,feb_61,6164.82
1024,ราษฎร์บูรณะ,feb_61,3394.47
1011,ลาดกระบัง,feb_61,8091
1038,ลาดพร้าว,feb_61,6043.82
1045,วังทองหลาง,feb_61,6512.04
1039,วัฒนา,feb_61,7935.29
